"β"	"beta"
"→"	"arrow"
"○"	"circle"
"○"	"correct"
"〆切"	"deadline"
"〆切"	"end"
"〆切" "日"	"deadline"
"〆切り"	"deadline"
"〆切り"	"end"
"ああ"	"so"
"あいつ"	"he"
"あいつ"	"she"
"あいまい" "性"	"ambiguity"
"あい昧"	"fuzzy"
"あい昧"	"unclear"
"あい昧"	"vague"
"あうん"	"respiration"
"あえない"	"tragic"
"あおい"	"ai"
"あおい"	"black"
"あおい"	"blue"
"あおい"	"green"
"あおい"	"immature"
"あおい"	"inexperienced"
"あおい"	"pale"
"あおい"	"unripe"
"あおい"	"young"
"あおぐ"	"fan"
"あおぐ"	"incite"
"あおぐ"	"instigate"
"あお向け"	"face up"
"あお向け"	"face" "up"
"あかあかと"	"brilliantly"
"あかあかと"	"clearly"
"あかい"	"Red"
"あかい"	"bright"
"あかい"	"cheerful"
"あかい"	"clean"
"あかい"	"colourful"
"あかい"	"fair"
"あかい"	"familiar"
"あかい"	"knowledgeable"
"あかい"	"red"
"あかす"	"bore"
"あかす"	"guarantee"
"あかす"	"promise"
"あかす"	"prove"
"あかす"	"tire"
"あかす"	"verify"
"あかす"	"weary"
"あかつき"	"dawn"
"あかつき"	"daybreak"
"あかり"	"Ari"
"あかり"	"ari"
"あか抜ける"	"refine"
"あきらめる"	"clarify"
"あきらめる"	"elucidate"
"あく" "洗い"	"scouring"
"あくせく"	"busily"
"あけっぴろげ"	"frank"
"あけっぴろげ"	"open"
"あこがれ"	"aspiration"
"あこがれ"	"longing"
"あこがれ"	"yearning"
"あこがれる"	"admire"
"あざける"	"scoff"
"あし" "毛"	"gray"
"あし" "毛"	"grey"
"あしらい"	"reception"
"あしらい"	"treatment"
"あしらう"	"arrange"
"あしらう"	"handle"
"あしらう"	"treat"
"あそこ"	"there"
"あそこ"	"yonder"
"あたう"	"often"
"あたう"	"properly"
"あたう"	"well"
"あたかも"	"as if"
"あたかも"	"as" "if"
"あたふた"	"hastily"
"あたま"	"bridle"
"あたま"	"halter"
"あたま"	"pier"
"あたま"	"quay"
"あたま"	"wharf"
"あたり"	"where"
"あたりまえ"	"common"
"あたりまえ"	"natural"
"あたりまえ"	"obvious"
"あたりまえ"	"ordinary"
"あたりまえ"	"reasonable"
"あたりまえ"	"usual"
"あだな"	"nickname"
"あだ名"	"nickname"
"あっさり"	"easily"
"あっさり"	"quickly"
"あっさり"	"readily"
"あっせん"	"influence"
"あっせん"	"services"
"あつい"	"abundant"
"あつい"	"deep"
"あつい"	"faithful"
"あつい"	"heavy"
"あつい"	"hospitable"
"あつい"	"kind"
"あつい"	"serious"
"あつい"	"thick"
"あつい"	"warm"
"あてがう"	"allocate"
"あてがう"	"allot"
"あてがう"	"furnish"
"あてはめる"	"adapt"
"あてはめる"	"apply"
"あて名"	"name"
"あと" "口"	"later"
"あどけない"	"innocent"
"あの"	"say"
"あの"	"well"
"あの" "人"	"he"
"あの" "人"	"she"
"あの" "方"	"he"
"あの" "方"	"she"
"あのー"	"say"
"あのー"	"well"
"あばた"	"smallpox"
"あばら骨"	"frame"
"あばら骨"	"rib"
"あぶら虫"	"cockroach"
"あぶる"	"dry"
"あぶる"	"grill"
"あぶる"	"toast"
"あぶる"	"warm"
"あべこべ"	"contrary"
"あべこべ"	"inverse"
"あべこべ"	"opposite"
"あみだくじ"	"lottery"
"あめ" "玉"	"candy"
"あや"	"whoa"
"あや"	"wow"
"あやす"	"comfort"
"あやす"	"rock"
"あやす"	"soothe"
"あやふや"	"uncertain"
"あやふや"	"vague"
"あやみ"	"Sami"
"あら"	"ah"
"あら"	"oh"
"あらためる"	"alter"
"あらためる"	"change"
"あらためる"	"check"
"あらためる"	"correct"
"あらためる"	"examine"
"あらためる"	"improve"
"あらためる"	"inspect"
"あらためる"	"mend"
"あらためる"	"reform"
"あらためる"	"replace"
"あらためる"	"revise"
"あらまし"	"about"
"あらまし"	"abstract"
"あらまし"	"outline"
"あらまし"	"roughly"
"あらわ"	"Kenya"
"あらわ"	"kenya"
"あらわれ"	"embodiment"
"あらわれ"	"expression"
"あらわれ"	"indication"
"あらわれ"	"manifestation"
"ありあまる"	"superfluous"
"ありあり"	"clear"
"ありあり"	"distinct"
"ありあり"	"vivid"
"ありがたみ"	"blessing"
"ありがたみ"	"value"
"ありがたみ"	"virtue"
"ありがたみ"	"worth"
"ありふれる"	"common"
"ある が まま"	"fact"
"ある が まま"	"frankly"
"ある" "人"	"someone"
"ある" "種"	"certain"
"あるいは"	"or"
"あるいは"	"possibly"
"ある時"	"once"
"ある限り"	"all"
"あわせる"	"clench"
"あわせる"	"engage"
"あわただしい"	"busy"
"あわただしい"	"confused"
"あわただしい"	"flurried"
"あわてる"	"panic"
"あわてる"	"rush"
"あわよくば"	"if possible"
"あわよくば"	"if" "possible"
"あん な"	"Anna"
"あん" "な"	"Anna"
"あん" "南"	"anna"
"あん" "名"	"anna"
"あん" "菜"	"anna"
"あん" "音"	"anne"
"あんこう"	"fool"
"あんず"	"Anna"
"あんず"	"Ian"
"あんず"	"Joan"
"あんず"	"anna"
"あんず"	"ian"
"あんず"	"joan"
"あんず"	"piano"
"あんず"	"yuan"
"あんな"	"Ana"
"あんな"	"Anna"
"あんな"	"Joanna"
"あんな"	"ana"
"あんな"	"anna"
"あんな"	"joanna"
"あんな"	"so"
"あんな"	"sort of"
"あんな"	"sort" "of"
"あんな"	"such"
"あんな"	"that"
"あー" "た"	"you"
"い"	"I"
"い" "江"	"ie"
"いいあう"	"quarrel"
"いいかげん"	"careless"
"いいかげん"	"considerably"
"いいかげん"	"halfhearted"
"いいかげん"	"moderate"
"いいかげん"	"perfunctory"
"いいかげん"	"pretty"
"いいかげん"	"quite"
"いいかげん"	"rather"
"いいかげん"	"reasonable"
"いいかげん"	"vague"
"いいはる"	"assert"
"いいはる"	"insist"
"いいよる"	"court"
"いいわけ"	"excuse"
"いいわけ"	"explanation"
"いい人"	"lover"
"いい加減"	"careless"
"いい加減"	"considerably"
"いい加減"	"halfhearted"
"いい加減"	"moderate"
"いい加減"	"perfunctory"
"いい加減"	"pretty"
"いい加減"	"quite"
"いい加減"	"rather"
"いい加減"	"reasonable"
"いい加減"	"vague"
"いえる"	"recover"
"いかがわしい"	"dubious"
"いかがわしい"	"indecent"
"いかがわしい"	"suspicious"
"いかがわしい"	"unreliable"
"いかさま"	"counterfeit"
"いかさま"	"fraud"
"いかさま"	"how"
"いかさま" "師"	"cheat"
"いかす"	"cool"
"いかす"	"sharp"
"いかす"	"smart"
"いかす"	"stylish"
"いかに"	"however"
"いかに"	"whatever"
"いかにも"	"indeed"
"いかにも"	"really"
"いかほど"	"how much"
"いかほど"	"how" "much"
"いかほど"	"however"
"いかり"	"anchor"
"いかれる"	"break down"
"いかれる"	"break" "down"
"いかれる"	"crazy"
"いかん"	"how"
"いかんなく"	"fully"
"いがみあう"	"quarrel"
"いがみあう"	"snarl"
"いがみ合い"	"quarrel"
"いがみ合い"	"snarl"
"いがみ合い"	"wrangling"
"いがみ合う"	"quarrel"
"いがみ合う"	"snarl"
"いき" "値"	"threshold"
"いきいき"	"lively"
"いきいき"	"vividly"
"いきわたる"	"diffuse"
"いく"	"come"
"いくばく"	"how much"
"いくばく"	"how" "much"
"いける"	"arrange"
"いける"	"live"
"いける"	"living"
"いける"	"plant"
"いけ好かない"	"creepy"
"いけ好かない"	"disagreeable"
"いけ好かない"	"nasty"
"いこう"	"idea"
"いこう"	"ie"
"いこう"	"inclination"
"いこう"	"intention"
"いこう"	"relax"
"いこう"	"repose"
"いこう"	"rest"
"いさかい"	"dispute"
"いさかい"	"quarrel"
"いささか"	"a bit"
"いささか"	"a little"
"いささか"	"a" "bit"
"いささか"	"a" "little"
"いささか"	"somewhat"
"いざ"	"come"
"いざ"	"now"
"いざ"	"well"
"いざこざ"	"complication"
"いざこざ"	"quarrel"
"いざこざ"	"tangle"
"いざこざ"	"trouble"
"いじいじ"	"perverse"
"いじめ" "っ子"	"bully"
"いじらしい"	"innocent"
"いじらしい"	"pathetic"
"いじらしい"	"sweet"
"いする"	"cure"
"いする"	"heal"
"いずみ"	"coin"
"いずれ も"	"all"
"いずれ も"	"any"
"いずれ も"	"both"
"いずれ も"	"either"
"いずれ も"	"every"
"いずれ" "も"	"all"
"いずれ" "も"	"any"
"いずれ" "も"	"both"
"いずれ" "も"	"either"
"いずれ" "も"	"every"
"いずれか"	"any"
"いそいそ"	"cheerfully"
"いそいそ"	"excitedly"
"いたずら" "っ子"	"elf"
"いたずら" "っ子"	"rascal"
"いたずら" "坊主"	"troublemaker"
"いたずら" "好き"	"mischievous"
"いたずらに"	"in vain"
"いたずらに"	"in" "vain"
"いたずらに"	"uselessly"
"いためる"	"bend"
"いためる"	"bow"
"いためる"	"train"
"いたる"	"arrive"
"いたる"	"attain"
"いたる"	"come"
"いたる"	"reach"
"いちいち"	"one by one"
"いちいち"	"separately"
"いちご"	"medium"
"いちご"	"strawberry"
"いちじく"	"fig"
"いち早く"	"promptly"
"いち早く"	"quickly"
"いっそう"	"escape"
"いっそう"	"pair"
"いっそう"	"scud"
"いってん"	"firmament"
"いつく"	"enshrine"
"いつく"	"worship"
"いつくしむ"	"love"
"いつくしむ"	"pity"
"いつしか"	"unawares"
"いつしか"	"unnoticed"
"いつぞや"	"once"
"いつの間にか"	"unawares"
"いつの間にか"	"unnoticed"
"いつも" "通り"	"as always"
"いつも" "通り"	"as usual"
"いつも" "通り"	"as" "always"
"いつも" "通り"	"as" "usual"
"いてる"	"congeal"
"いてる"	"freeze"
"いと"	"Ito"
"いと"	"greatly"
"いと"	"really"
"いとう"	"dislike"
"いとう"	"grudge"
"いとう"	"hate"
"いとう"	"spare"
"いとも"	"extremely"
"いなか者"	"clown"
"いなご"	"grasshopper"
"いのち"	"call"
"いのる"	"pray"
"いのる"	"wish"
"いびつ"	"crooked"
"いびつ"	"elliptical"
"いびつ"	"irregular"
"いびつ"	"oval"
"いびる"	"tease"
"いぶかる"	"suspect"
"いまいましい"	"annoying"
"いまどき"	"nowadays"
"いまどき"	"recently"
"いまどき"	"today"
"いま一つ"	"another"
"いま一つ"	"not quite"
"いま一つ"	"not" "quite"
"いま一つ"	"one more"
"いま一つ"	"one" "more"
"いみじくも"	"aptly"
"いみじくも"	"exquisitely"
"いやいや"	"unwillingly"
"いやし"	"despise"
"いやし"	"disdain"
"いやし"	"scorn"
"いやしくも"	"any"
"いやしくも"	"at all"
"いやしくも"	"at" "all"
"いやしくも"	"ever"
"いやしめる"	"abase"
"いやしめる"	"despise"
"いやに"	"awfully"
"いやに"	"terribly"
"いよいよ"	"all the more"
"いよいよ"	"at last"
"いよいよ"	"at" "last"
"いよいよ"	"finally"
"いよいよ"	"increasingly"
"いよいよ"	"more and more"
"いらいら"	"irritation"
"いらだち"	"irritation"
"いらっしゃい"	"come"
"いらっしゃい"	"go"
"いらっしゃい"	"stay"
"いらっしゃる"	"are"
